Combustivel,Aciaria,Laminacao,Outros
Gas natural,0.69,1.114,0.067
Carvao metalurgico,0.029,,
Lenha,,,
Produtos da cana,,,
Outras fontes primarias,,,
Oleo diesel,,,0.005
Oleo combustivel,,,
Gasolina,,,
GLP,,,
Querosene,,,
Gases cidade,,,
Coque de carvao mineral,0.139,,
Eletricidade,5.271,0.989,1.448
Carvao vegetal,,,
Alcool etilico,,,
Outras fontes secundarias,0.003,,
Alcatrao,,,
