Rota,Etapa,Combustivel,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
R1,Laminacao,Alcatrao,,,,,,,,,,,,,,,
R1,Flare,Gas natural,,,,,,,,,,,,,,,
R1,Flare,Carvao metalurgico,,,,,,,,,,,,,,,
R1,Flare,Lenha,,,,,,,,,,,,,,,
R1,Flare,Produtos da cana,,,,,,,,,,,,,,,
R1,Flare,Outras fontes primarias,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77
R1,Flare,Oleo diesel,,,,,,,,,,,,,,,
R1,Flare,Oleo combustivel,,,,,,,,,,,,,,,
R1,Flare,Gasolina,,,,,,,,,,,,,,,
R1,Flare,GLP,,,,,,,,,,,,,,,
R1,Flare,Querosene,,,,,,,,,,,,,,,
R1,Flare,Gases cidade,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029
R1,Flare,Coque de carvao mineral,,,,,,,,,,,,,,,
R1,Flare,Eletricidade,,,,,,,,,,,,,,,
R1,Flare,Carvao vegetal,,,,,,,,,,,,,,,
R1,Flare,Alcool etilico,,,,,,,,,,,,,,,
R1,Flare,Outras fontes secundarias,,,,,,,,,,,,,,,
R1,Flare,Alcatrao,,,,,,,,,,,,,,,
R2,Sinterizacao,Gas natural,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345
R2,Sinterizacao,Carvao metalurgico,,,,,,,,,,,,,,,
R2,Sinterizacao,Lenha,,,,,,,,,,,,,,,
R2,Sinterizacao,Produtos da cana,,,,,,,,,,,,,,,
R2,Sinterizacao,Outras fontes primarias,,,,,,,,,,,,,,,
R2,Sinterizacao,Oleo diesel,,,,,,,,,,,,,,,
R2,Sinterizacao,Oleo combustivel,,,,,,,,,,,,,,,
R2,Sinterizacao,Gasolina,,,,,,,,,,,,,,,
R2,Sinterizacao,GLP,,,,,,,,,,,,,,,
R2,Sinterizacao,Querosene,,,,,,,,,,,,,,,
R2,Sinterizacao,Gases cidade,,,,,,,,,,,,,,,
R2,Sinterizacao,Coque de carvao mineral,,,,,,,,,,,,,,,
R2,Sinterizacao,Eletricidade,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173
R2,Sinterizacao,Carvao vegetal,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529
R2,Sinterizacao,Alcool etilico,,,,,,,,,,,,,,,
R2,Sinterizacao,Outras fontes secundarias,,,,,,,,,,,,,,,
R2,Sinterizacao,Alcatrao,,,,,,,,,,,,,,,
R2,Alto-forno,Gas natural,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065
R2,Alto-forno,Carvao metalurgico,,,,,,,,,,,,,,,
R2,Alto-forno,Lenha,,,,,,,,,,,,,,,
R2,Alto-forno,Produtos da cana,,,,,,,,,,,,,,,
