Recovery_rate,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
High,7741.830501,7935.450358,7494.173035,8585.954628,9146.345656,9346.357102,9544.90169,9936.492143,10471.21172,10324.51876,11030.79168,11199.37595,10941.44312,11549.85806,12125.15724,12527.7192,12603.54664,12653.02989,12990.06961,13153.95205,13470.31703,13943.67013,14415.39372,14885.73398,15217.95826,15548.04852,15876.22228,16174.14655,16470.57026,16765.6923,17059.70574
Low,7741.830501,7904.693244,7438.166401,8490.519558,9013.502285,9183.992569,9355.792077,9714.402605,10210.2686,10066.54287,10713.03281,10782.25888,10462.14235,10971.32757,11437.1332,11735.89433,11740.31573,11727.25378,11971.33064,12066.52889,12296.46058,12647.07596,12990.98058,13328.67121,13537.51942,13741.05587,13939.68948,14105.25913,14266.66738,14424.24967,14578.31974
